date,ground_truth,lstm_prediction,transformer_prediction,deit_prediction
2009-11-27,23.000433307291626,30.74723792324476,29.53297839021464,30.795240158689733
2009-11-28,30.982499909131285,32.014863411059395,29.2305683674275,33.98787989957428
2009-11-29,27.516033373471284,31.291102106215803,30.29736588513728,31.74874750103836
2009-11-30,29.086500092185574,31.355742427665312,30.03984704575756,29.114449344290904
2009-12-01,29.272966800272687,31.11866820663722,29.65574006628075,32.36369664775215
2009-12-02,39.09446722920067,31.81673544232688,29.402839910862596,31.827093854586828
2009-12-03,24.6614666304022,31.693120493453815,29.01487297374038,29.859768926134254
2009-12-04,28.5215666680121,32.04655730408565,28.3791475622261,29.29078172642816
2009-12-05,39.196033671955774,32.27460698758212,29.21758251657399,34.13357908968788
2009-12-06,39.638133901440135,32.333611157760416,28.806317944545405,32.771969713500106
2009-12-07,29.04396658831756,31.525296747205108,29.012958564529963,30.38503239727641
2009-12-08,33.44806694423454,32.48323850219511,28.72994142512443,31.52300273294724
2009-12-09,30.03926651127548,31.430255060501775,27.869286477191466,32.80917913563295
2009-12-10,34.31940017892709,32.485331909537486,28.24687260309829,30.3744643475646
2009-12-11,29.741033369583086,32.19484767760809,28.302164755168384,30.198274325383125
2009-12-12,30.273000014374514,32.79459294875533,29.236158333955466,33.93759026151417
2009-12-13,35.64689999360483,32.10385547693261,28.194817092025385,32.850203636870546
2009-12-14,29.914366775089736,32.317228732691405,28.86574646930416,29.61374121854477
2009-12-15,32.33526684210332,31.870369152515277,28.267241348818303,31.10560630979805
2009-12-16,23.24789999860262,32.223761261991996,28.42115868181599,32.32631245248828
2009-12-17,28.61970005560358,32.82636953569336,27.83588490973425,30.1830499375982
2009-12-18,29.078433243037896,32.39570228779528,27.19634313710157,28.95927452522716
2009-12-19,36.738900190281385,32.51149930780581,28.734516931833888,32.64540090842647
2009-12-20,19.069433399683007,32.22192122569913,28.01663822321213,32.508842265985166
2009-12-21,33.9161002940718,32.93385788169252,27.68054388042309,29.22806748938253
2009-12-22,31.46703333902593,31.85626687338038,28.15701429108504,30.29738678437864
2009-12-23,24.25333331220485,32.06297991504159,27.964006789681083,30.76079824118872
2009-12-24,48.43156710612657,32.36331801026217,27.877913864633506,31.203853901422928
2009-12-25,35.4607999897989,31.946080782568735,27.56636739016737,30.11638877561656
2009-12-26,36.39363311240822,31.861127882110345,27.941271462892946,33.277254735479744
2009-12-27,36.59086647750385,32.398465051395505,28.861608274382263,32.72551515073245
2009-12-28,34.90163304688786,32.4162405012062,28.135140977373005,29.50962697120739
2009-12-29,34.13280027042825,32.44914609870422,28.64289553659856,30.400463003810135
2009-12-30,40.85183283167206,33.49894401868669,28.34799550138312,31.92586283068044
2009-12-31,36.864866497318374,32.20097702517374,29.8009397871023,30.638459436114932
2010-01-01,20.404200215999783,32.29532832737021,29.430549176463416,29.645704028043887
2010-01-02,21.863583274163553,33.115325865369755,29.041172701618702,32.31807070120192
2010-01-03,34.72423331985338,33.007272917334866,30.01999889433435,30.73551409388296
2010-01-04,26.735533345572943,32.399834532238735,29.220970398898224,29.005703471910795
2010-01-05,36.996333046053934,33.01193164204973,30.50311601360421,31.070795849656665
2010-01-06,29.619666508239966,32.39199931634941,30.829009881764332,31.86040240751924
2010-01-07,29.490700128007244,32.73773385348831,30.390733600661527,28.99668234501926
2010-01-08,29.953466740015397,32.81690740416992,30.47069451736041,31.19334197004438
2010-01-09,38.94833379929448,32.11382802727347,31.302332739283163,33.84184245136914
2010-01-10,41.80776671140004,32.131770154984345,30.758856611361484,30.76353733188284
2010-01-11,25.311399978327113,32.38480946129267,31.60396000807696,28.69542253842666
2010-01-12,36.66252958908694,31.640393513622584,31.30934082254319,31.358242209145157
2010-01-13,41.706019657917174,31.441408611490683,31.84766728708965,31.96777632372159
2010-01-14,44.89061767389636,31.875055936396784,31.09712166933477,29.831995769488493
2010-01-15,36.61266683738264,32.10007245623204,31.4055071980498,29.62741839324218
2010-01-16,35.835200223097864,32.56906536506435,31.96478018525957,32.4290935668914
2010-01-17,31.775933479307415,31.869190538509,32.449182220849764,30.918127762360587
2010-01-18,31.35163340460114,31.67115364918633,31.723240751010632,27.813960767003117
2010-01-19,40.558466826573614,31.82381828552742,31.266680697654248,28.720144163945243
2010-01-20,39.19546603823995,31.861547673044736,32.76030993644283,31.76040585901135
2010-01-21,35.63093336023265,32.146305319331375,32.56300929385111,28.49118263816296
2010-01-22,29.843766686647175,32.78693692450947,33.036009309694066,28.853989646232623
2010-01-23,43.52568306069905,32.74965919281924,32.438266237471694,33.10976640915402
2010-01-24,37.82366692731121,32.33957950376304,32.86538680670725,32.696138041816525
2010-01-25,32.17516639759656,32.59810679604197,33.53763399726034,28.64530891519632
2010-01-26,34.45939993951093,32.63637537108546,32.06796580318903,30.329955639625133
2010-01-27,46.0150329809374,31.43561597392464,33.48762082262136,31.825219566759507
2010-01-28,35.17056693578875,32.31029276471482,33.07068818201952,28.58351256767069
2010-01-29,34.88316689005115,31.881520703885414,32.169107359207075,30.157234294848134
2010-01-30,47.3788000747874,32.31306326877481,33.29968961954744,32.87749398233872
2010-01-31,29.986600100541885,32.484977912511084,31.727942435277185,32.03080733908294
2010-02-01,28.229633293007762,31.87629337789726,32.17670952275377,29.665005509496478
2010-02-02,35.957200189545595,31.79756032387989,32.37125004640235,30.46369356177375
2010-02-03,48.38356593499482,31.654534559560112,32.19215115944265,32.39249502829328
2010-02-04,38.60449999655375,31.206950343342687,31.87901614912205,30.010944427024988
2010-02-05,34.98153329773335,30.642419390824873,30.46676662105465,30.4488290731158
2010-02-06,45.21643297638991,30.937912635525247,30.398443324346974,32.12028898903604
2010-02-07,27.095133295715073,31.86845506582402,32.185394770132525,31.511232202811545
2010-02-08,43.0373000421499,32.06142027690356,30.98865421967967,28.53481275554167
2010-02-09,40.348866786933016,31.039828850305813,30.426648269639752,30.18187654840225
2010-02-10,32.467066875646914,30.739091347361548,29.7933762936025,30.463597612324623
2010-02-11,22.829466547356933,31.605725155421638,30.71594414748433,28.417936199409787
2010-02-12,31.549966882540314,31.491878989286217,30.145616138888037,29.776130517002883
2010-02-13,39.19259948797511,31.811636156443942,29.92529153098888,31.7261547599694
2010-02-14,28.141666676793314,31.057685058913332,29.9728162123185,29.488709467205204
2010-02-15,34.95220018043041,31.765419419302432,30.39009768964024,28.01502662723795
2010-02-16,29.962600160014322,30.428054066140028,29.66933802221029,29.951507307130708
2010-02-17,34.24266642116218,30.434246756468067,29.116257257675773,29.93249483509445
2010-02-18,29.352600005256438,30.71615197882892,29.739996728509585,28.41957708012339
2010-02-19,32.55953311787623,30.768975133872676,29.1052108556137,28.981321080104227
2010-02-20,33.06213342589156,31.568207921005627,29.39550876016329,30.4175401028908
2010-02-21,45.67189968980504,30.768943817262546,28.903364797349845,30.84429129093617
2010-02-22,24.567266686445972,30.1914306623892,28.57750893807233,28.45303128270698
2010-02-23,24.354666734869227,30.36976808161989,29.55675698584495,28.56796134300385
2010-02-24,31.904633458716695,30.272257188252773,28.81248726836053,29.84796375744113
